code,binary,who,where,when,number,name,key,description,book
11 00 10,110010,WE,NORTH,SPRING,29,Shared Dream,"collective unconscious, shared archetypes","Beneath waking awareness, the Shared Dream — images and patterns that belong to all.",WE
11 00 11,110011,WE,NORTH,SUMMER,30,Shared Memory,"cultural memory, tradition, myths","The Dream remembered becomes Shared Memory — the stories that define a people.",WE
11 00 01,110001,WE,NORTH,AUTUMN,31,Shared Experience,"common history, collective experience","Memory lived becomes Shared Experience — events that bind a community across generations.",WE
11 00 00,110000,WE,NORTH,WINTER,32,Common Source,"ancestral home, shared root, single origin","Beyond all experience, the Common Source — that from which all communities emerge and to which all return.",WE
01 10 10,011010,YOU,EAST,SPRING,33,Mediator,"mediation, translation, connection between","The one who stands between, translating each to the other. The Mediator creates bridges.",YOU
01 10 11,011011,YOU,EAST,SUMMER,34,Interpreter,"interpretation, meaning conveyance, experience translation","Deeper than mediation, the Interpreter conveys meaning itself — making the foreign familiar.",YOU
01 10 01,011001,YOU,EAST,AUTUMN,35,Peacemaker,"reconciliation, conflict resolution, harmonization","When connection fails, the Peacemaker restores it. They heal what has been broken between.",YOU
01 10 00,011000,YOU,EAST,WINTER,36,Guide,"guidance through unknown, hope, orientation","In utter disorientation, the Guide appears — one who knows the way through darkness.",YOU
01 11 10,011110,YOU,SOUTH,SPRING,37,Mentor,"knowledge transmission, growth support, tutelage","The one who walks beside, sharing what they know. The Mentor supports growth through presence.",YOU
01 11 11,011111,YOU,SOUTH,SUMMER,38,Teacher,"inspiration, enlightenment, wisdom transmission","Beyond mentoring, the Teacher transforms — igniting understanding, awakening insight.",YOU
01 11 01,011101,YOU,SOUTH,AUTUMN,39,Consultant,"professional advice, expertise, decision help","When specific knowledge is needed, the Consultant appears — offering expertise for particular problems.",YOU
01 11 00,011100,YOU,SOUTH,WINTER,40,Therapist,"healing, restoration, psychological support","When the wound is in the soul, the Therapist appears — one trained in the art of inner healing.",YOU
01 01 10,010110,YOU,WEST,SPRING,41,Mirror,"honest feedback, truthful vision","The one who shows you yourself — not as you wish to be, but as you are. The Mirror tells truth.",YOU
01 01 11,010111,YOU,WEST,SUMMER,42,Catharsis,"emotional purification, liberation, deep experiencing","The Mirror's truth can be overwhelming. Catharsis is the release, the purification that follows honest seeing.",YOU
01 01 01,010101,YOU,WEST,AUTUMN,43,Confessor,"acceptance, forgiveness, unconditional listening","After catharsis, the Confessor receives what remains — offering acceptance without judgment, forgiveness without condition.",YOU
01 01 00,010100,YOU,WEST,WINTER,44,Listener,"deep listening, presence, wordless empathy","Beyond words, beyond confession, the Listener simply attends — present, open, receiving all.",YOU
01 00 10,010010,YOU,NORTH,SPRING,45,Kindred,"resonance, deep understanding, soul connection","The one who is like you at the deepest level. Kindred spirits recognize each other instantly.",YOU
01 00 11,010011,YOU,NORTH,SUMMER,46,Friend,"loyalty, support, shared growth","Kindred who walk together become Friends — loyal, supportive, growing side by side.",YOU
01 00 01,010001,YOU,NORTH,AUTUMN,47,Beloved,"intimacy, love, profound closeness","Friend who becomes other half — the Beloved, with whom boundaries dissolve in love.",YOU
01 00 00,010000,YOU,NORTH,WINTER,48,Spiritual Father,"spiritual guidance, initiation, tradition transmission","The one who gives birth to the spirit — not biologically, but through initiation, through transmission of what matters most.",YOU
00 10 10,001010,THEY,EAST,SPRING,49,Ghost,"unexpected appearance, irrational intrusion","That which appears without explanation — the Ghost haunts the boundaries of reason.",THEY
00 10 11,001011,THEY,EAST,SUMMER,50,Spirit,"supernatural knowledge, prophecy, vision","The Ghost, when it speaks, becomes Spirit — bearing knowledge from beyond, prophecy, vision.",THEY
00 10 01,001001,THEY,EAST,AUTUMN,51,Voice,"inner call, intuition, ancestral voice","The Spirit's message becomes Voice — calling from within, speaking of things beyond ordinary knowing.",THEY
00 10 00,001000,THEY,EAST,WINTER,52,Shadow,"hidden threat, unconscious fear","Not all that touches from beyond is benevolent. The Shadow is the feared, the repressed, the denied.",THEY
00 11 10,001110,THEY,SOUTH,SPRING,53,Force,"cosmic energy, life force, tai chi","Pure power without form — the Force that moves through all things, animating, energizing.",THEY
00 11 11,001111,THEY,SOUTH,SUMMER,54,Egregore,"collective consciousness, thought field, shared belief","When many focus on the same thing, an Egregore forms — a thought-field with its own life.",THEY
00 11 01,001101,THEY,SOUTH,AUTUMN,55,Field,"archetypal field, reality matrix, potential forms","The structure within which all manifestation occurs — the Field that shapes what emerges.",THEY
00 11 00,001100,THEY,SOUTH,WINTER,56,Storm,"cosmic cleansing, destruction of forms, catharsis of being","When the Field must be cleared, the Storm comes — destroying old forms to make way for new.",THEY
00 01 10,000110,THEY,WEST,SPRING,57,Reflection,"self-knowledge through other, mirror of soul","The beyond sees itself in the world. Reflection is the moment of recognition — the divine glimpsing itself in creation.",THEY
00 01 11,000111,THEY,WEST,SUMMER,58,Whisper,"subtle perception, intuitive knowledge, hints of being","Not voice, but Whisper — so subtle you might miss it, yet carrying the deepest truth.",THEY
00 01 01,000101,THEY,WEST,AUTUMN,59,Sign,"synchronicity, omen, universe's hints","When the Whisper becomes event, it is Sign — meaningful coincidence, synchronicity, the universe winking.",THEY
00 01 00,000100,THEY,WEST,WINTER,60,Silence,"absolute stillness, end of questions, peace","Beyond all signs, all whispers — Silence. Not absence of sound, but presence of peace so complete that questions end.",THEY
00 00 10,000010,THEY,NORTH,SPRING,61,Potential,"pure possibility, unrealized, future","That which could be but is not yet. Potential is the unborn future, waiting to manifest.",THEY
00 00 11,000011,THEY,NORTH,SUMMER,62,Unborn,"unmanifest, that which never was in manifestation","Deeper than Potential — that which will never manifest, the eternal unmanifest.",THEY
00 00 01,000001,THEY,NORTH,AUTUMN,63,Unrealized,"lost possibilities, alternative realities","Paths not taken, lives not lived, worlds that might have been — the Unrealized mourns what could have been.",THEY
00 00 00,000000,THEY,NORTH,WINTER,64,Zero,"absolute source, unmanifest, Tao, apeiron, divine void","The source of all and the destination of all. Zero is not nothing — it is everything in potential, the void that contains all possibilities.",THEY
